COMM_NAME,Date,WPI
Sweet Potato,1995-09,219.2
Onion,1995-09,134.9
Tapioca,1995-09,117.1
Ginger,1995-09,249.6
Peas,1995-09,9999.9
Tomato,1995-09,142.3
Cauliflower,1995-09,9999.9
BRINJAL,1995-09,215.4
OKRA,1995-09,102.5
CABBAGE,1995-09,144
Banana,1995-09,118.8
Mango,1995-09,9999.9
apple,1995-09,139.9
Orange,1995-09,96.7
Cashewnuts,1995-09,99.9
Coconut,1995-09,90.2
Papaya,1995-09,101.4
Grapes,1995-09,9999.9
PINEAPPLE,1995-09,118.8
GUAVA,1995-09,105.4
LITCHI,1995-09,9999.9
SAPOTA,1995-09,114.5
Rice,1995-10,118
Wheat,1995-10,111.4
Jowar,1995-10,161.6
Bajra,1995-10,144.2
Maize,1995-10,141.1
Barley,1995-10,110.3
Ragi,1995-10,143.8
Gram,1995-10,70.9
Arhar,1995-10,161.4
Moong,1995-10,142.1
Masur,1995-10,172
Urad,1995-10,211.3
Potato,1995-10,197.2
Sweet Potato,1995-10,217.7
Onion,1995-10,143.5
Tapioca,1995-10,120
Ginger,1995-10,240.3
Peas,1995-10,146.7
Tomato,1995-10,153.6
Cauliflower,1995-10,202.2
BRINJAL,1995-10,186.1
OKRA,1995-10,130.7
CABBAGE,1995-10,216.3
Banana,1995-10,113.4
Mango,1995-10,9999.9
apple,1995-10,122.3
Orange,1995-10,96.7
Cashewnuts,1995-10,104.2
Coconut,1995-10,98.6
Papaya,1995-10,107.2
Grapes,1995-10,9999.9
PINEAPPLE,1995-10,131.8
GUAVA,1995-10,119.5
LITCHI,1995-10,9999.9
SAPOTA,1995-10,125.7
Rice,1995-11,118.7
Wheat,1995-11,112.7
Jowar,1995-11,169.1
Bajra,1995-11,153.4
Maize,1995-11,143.3
Barley,1995-11,114
Ragi,1995-11,142.6
Gram,1995-11,69.3
Arhar,1995-11,171.4
Moong,1995-11,148.5
Masur,1995-11,194.4
Urad,1995-11,202.2
Potato,1995-11,182.3
Sweet Potato,1995-11,200.8
Onion,1995-11,155.1
Tapioca,1995-11,114.7
Ginger,1995-11,224.1
Peas,1995-11,152.5
Tomato,1995-11,171.2
Cauliflower,1995-11,105.1
BRINJAL,1995-11,174
OKRA,1995-11,146.2
CABBAGE,1995-11,201.3
Banana,1995-11,117.6
Mango,1995-11,9999.9
apple,1995-11,125.7
Orange,1995-11,122.9
Cashewnuts,1995-11,107.1
Coconut,1995-11,96.7
Papaya,1995-11,95.8
Grapes,1995-11,9999.9
PINEAPPLE,1995-11,128.5
GUAVA,1995-11,112.5
LITCHI,1995-11,9999.9
SAPOTA,1995-11,140.2
Rice,1995-12,118.5
Wheat,1995-12,115.2
Jowar,1995-12,172
Bajra,1995-12,157
Maize,1995-12,140.6
Barley,1995-12,114.2
Ragi,1995-12,143.6
Gram,1995-12,67.9
Arhar,1995-12,167.4
Moong,1995-12,153.1
Masur,1995-12,199.5
Urad,1995-12,192.7
Potato,1995-12,108.4
Sweet Potato,1995-12,124.2
Onion,1995-12,131.7
Tapioca,1995-12,116.4
Ginger,1995-12,193.6
Peas,1995-12,99
Tomato,1995-12,137.3
Cauliflower,1995-12,70.8
BRINJAL,1995-12,107
OKRA,1995-12,139.4
CABBAGE,1995-12,147.5
Banana,1995-12,115.9
Mango,1995-12,9999.9
apple,1995-12,133.8
Orange,1995-12,150
Cashewnuts,1995-12,111.3
Coconut,1995-12,99.7
Papaya,1995-12,114.5
Grapes,1995-12,134.6
PINEAPPLE,1995-12,124.7
GUAVA,1995-12,98.6
LITCHI,1995-12,9999.9
SAPOTA,1995-12,124.4
Rice,1996-01,116.8
Wheat,1996-01,116.1
Jowar,1996-01,167.4
Bajra,1996-01,155.4
Maize,1996-01,142.6
Barley,1996-01,117.1
Ragi,1996-01,142.7
Gram,1996-01,69.4
Arhar,1996-01,167.9
Moong,1996-01,153.8
Masur,1996-01,198.7
Urad,1996-01,189.1
Potato,1996-01,85.4
Sweet Potato,1996-01,132.3
Onion,1996-01,97.2
Tapioca,1996-01,123.3
Ginger,1996-01,167.7
Peas,1996-01,72.1
Tomato,1996-01,84
Cauliflower,1996-01,57.9
BRINJAL,1996-01,94.1
OKRA,1996-01,165.9
CABBAGE,1996-01,85.4
Banana,1996-01,117.9
Mango,1996-01,9999.9
apple,1996-01,140.2
Orange,1996-01,170.9
Cashewnuts,1996-01,113.8
Coconut,1996-01,103
Papaya,1996-01,119.3
Grapes,1996-01,125.9
PINEAPPLE,1996-01,131.8
GUAVA,1996-01,83.6
LITCHI,1996-01,9999.9
SAPOTA,1996-01,112.7
Rice,1996-02,116.5
Wheat,1996-02,116.8
Jowar,1996-02,164.1
Bajra,1996-02,148.1
Maize,1996-02,142.8
Barley,1996-02,121.1
Ragi,1996-02,143.4
Gram,1996-02,68.6
Arhar,1996-02,160.5
Moong,1996-02,159.3
Masur,1996-02,181.4
Urad,1996-02,191.6
Potato,1996-02,89.1
Sweet Potato,1996-02,153.3
Onion,1996-02,84.3
Tapioca,1996-02,125.5
Ginger,1996-02,151.5
Peas,1996-02,59.4
Tomato,1996-02,89.7
Cauliflower,1996-02,50.9
BRINJAL,1996-02,100.6
OKRA,1996-02,175.3
CABBAGE,1996-02,67.8
Banana,1996-02,131.2
Mango,1996-02,9999.9
apple,1996-02,146.7
Orange,1996-02,206.8
Cashewnuts,1996-02,114.6
Coconut,1996-02,114
Papaya,1996-02,126.3
Grapes,1996-02,106.6
PINEAPPLE,1996-02,141.6
GUAVA,1996-02,84.2
LITCHI,1996-02,9999.9
SAPOTA,1996-02,125
Rice,1996-03,119.6
Wheat,1996-03,118.4
Jowar,1996-03,163.9
Bajra,1996-03,149
Maize,1996-03,144.1
Barley,1996-03,121.5
Ragi,1996-03,144.5
Gram,1996-03,74.9
Arhar,1996-03,167.1
Moong,1996-03,169.4
Masur,1996-03,176.4
Urad,1996-03,216.9
Potato,1996-03,111.2
Sweet Potato,1996-03,159.5
Onion,1996-03,90.7
Tapioca,1996-03,125.4
Ginger,1996-03,157.8
Peas,1996-03,86.6
Tomato,1996-03,71.9
Cauliflower,1996-03,62.2
BRINJAL,1996-03,122
OKRA,1996-03,168.4
CABBAGE,1996-03,71.4
Banana,1996-03,140.5
Mango,1996-03,9999.9
apple,1996-03,165.2
Orange,1996-03,255.6
Cashewnuts,1996-03,120
Coconut,1996-03,115.8
Papaya,1996-03,119.9
Grapes,1996-03,113.3
PINEAPPLE,1996-03,125.5
GUAVA,1996-03,95.3
LITCHI,1996-03,9999.9
SAPOTA,1996-03,121.2
Rice,1996-04,122.1
Wheat,1996-04,115.5
Jowar,1996-04,168.3
Bajra,1996-04,152.2
Maize,1996-04,143.8
Barley,1996-04,116.5
Ragi,1996-04,144.7
Gram,1996-04,85.4
Arhar,1996-04,177.3
Moong,1996-04,180.2
Masur,1996-04,178.5
Urad,1996-04,223.3
Potato,1996-04,142.6
Sweet Potato,1996-04,161
Onion,1996-04,97.5
Tapioca,1996-04,125.2
Ginger,1996-04,160.5
Peas,1996-04,9999.9
Tomato,1996-04,9999.9
Cauliflower,1996-04,9999.9
BRINJAL,1996-04,138.2
OKRA,1996-04,126.6
CABBAGE,1996-04,105.6
Banana,1996-04,161.8
Mango,1996-04,141.3
apple,1996-04,179.5
Orange,1996-04,292.9
Cashewnuts,1996-04,120.4
Coconut,1996-04,111.5
Papaya,1996-04,134.8
Grapes,1996-04,9999.9
PINEAPPLE,1996-04,142.5
GUAVA,1996-04,119.2
LITCHI,1996-04,9999.9
SAPOTA,1996-04,113
Rice,1996-05,122.3
Wheat,1996-05,114.7
Jowar,1996-05,173.9
Bajra,1996-05,149.9
Maize,1996-05,150.2
Barley,1996-05,120.1
Ragi,1996-05,145.3
Gram,1996-05,87.9
Arhar,1996-05,179.3
Moong,1996-05,176
Masur,1996-05,187.2
Urad,1996-05,223
Potato,1996-05,170.3
Sweet Potato,1996-05,161
Onion,1996-05,102.9
Tapioca,1996-05,128.4
Ginger,1996-05,171.2
Peas,1996-05,9999.9
Tomato,1996-05,9999.9
Cauliflower,1996-05,9999.9
BRINJAL,1996-05,125.3
OKRA,1996-05,85.4
CABBAGE,1996-05,162.3
Banana,1996-05,168.8
Mango,1996-05,119.5
apple,1996-05,211.4
Orange,1996-05,337.9
Cashewnuts,1996-05,117.4
Coconut,1996-05,106.3
Papaya,1996-05,138.2
Grapes,1996-05,9999.9
PINEAPPLE,1996-05,151.4
GUAVA,1996-05,145.2
LITCHI,1996-05,9999.9
SAPOTA,1996-05,133.1
Rice,1996-06,125.9
Wheat,1996-06,119.4
Jowar,1996-06,181.1
Bajra,1996-06,149.5
Maize,1996-06,160.6
Barley,1996-06,127.3
Ragi,1996-06,148.9
Gram,1996-06,87.9
Arhar,1996-06,179.3
Moong,1996-06,175.5
